index,word,shap_value,text,true_label
0,,[0. 0.],kaget,NON ASD
0,kaget,[-0.54299113  0.54299113],kaget,NON ASD
0,,[0. 0.],kaget,NON ASD
1,,[0. 0.],hiiiiii,ASD
1,hi,[-0.11595274  0.11595274],hiiiiii,ASD
1,iiii,[-0.22302563  0.22302563],hiiiiii,ASD
1,i,[-0.12915339  0.12915339],hiiiiii,ASD
1,,[0. 0.],hiiiiii,ASD
2,,[0. 0.],takut,NON ASD
2,takut,[-0.51457806  0.51457806],takut,NON ASD
2,,[0. 0.],takut,NON ASD
3,,[0. 0.],ohhhh,NON ASD
3,ohh,[-0.41124431  0.41124431],ohhhh,NON ASD
3,hh,[-0.28546344  0.28546344],ohhhh,NON ASD
3,,[0. 0.],ohhhh,NON ASD
4,,[0. 0.],opaa aja banja ban,ASD
4,op,[-0.0075602  0.0075602],opaa aja banja ban,ASD
4,aa ,[ 0.06178978 -0.06178978],opaa aja banja ban,ASD
4,aja ,[-0.18075855  0.18075855],opaa aja banja ban,ASD
4,banj,[-0.06912503  0.06912503],opaa aja banja ban,ASD
4,a ,[-0.0913224  0.0913224],opaa aja banja ban,ASD
4,ban,[-0.08151842  0.08151842],opaa aja banja ban,ASD
4,,[0. 0.],opaa aja banja ban,ASD
5,,[0. 0.],kaget tadi hahaha,NON ASD
5,kaget ,[-0.03540487  0.03540487],kaget tadi hahaha,NON ASD
5,tadi ,[-0.41213659  0.41213659],kaget tadi hahaha,NON ASD
5,hahaha,[-0.27189224  0.27189224],kaget tadi hahaha,NON ASD
5,,[0. 0.],kaget tadi hahaha,NON ASD
6,,[0. 0.],mwah,ASD
6,mw,[ 0.199039 -0.199039],mwah,ASD
6,ah,[-0.42692831  0.42692831],mwah,ASD
6,,[0. 0.],mwah,ASD
7,,[0. 0.],okee pintar,NON ASD
7,oke,[-0.46798969  0.46798969],okee pintar,NON ASD
7,e ,[-0.28800253  0.28800253],okee pintar,NON ASD
7,pintar,[ 0.01389124 -0.01389124],okee pintar,NON ASD
7,,[0. 0.],okee pintar,NON ASD
8,,[0. 0.],keysa lihat sini keysa,NON ASD
8,key,[-0.24222893  0.24222893],keysa lihat sini keysa,NON ASD
8,sa ,[-0.14108434  0.14108434],keysa lihat sini keysa,NON ASD
8,lihat ,[-0.35287137  0.35287137],keysa lihat sini keysa,NON ASD
8,sini ,[-0.15860792  0.15860792],keysa lihat sini keysa,NON ASD
8,key,[-0.05639597  0.05639597],keysa lihat sini keysa,NON ASD
8,sa,[-0.0219936  0.0219936],keysa lihat sini keysa,NON ASD
8,,[0. 0.],keysa lihat sini keysa,NON ASD
9,,[0. 0.],kalau kalau,NON ASD
9,kalau ,[-0.34356978  0.34356978],kalau kalau,NON ASD
9,kalau,[-0.45028374  0.45028374],kalau kalau,NON ASD
9,,[0. 0.],kalau kalau,NON ASD
10,,[0. 0.],senang senang,NON ASD
10,senang ,[-0.25522003  0.25522003],senang senang,NON ASD
10,senang,[-0.55668927  0.55668927],senang senang,NON ASD
10,,[0. 0.],senang senang,NON ASD
11,,[0. 0.],,ASD
11,,[0. 0.],,ASD
12,,[0. 0.],ini farel mas ingat kagak,NON ASD
12,ini ,[-0.1983744  0.1983744],ini farel mas ingat kagak,NON ASD
12,far,[-0.09956175  0.09956175],ini farel mas ingat kagak,NON ASD
12,el ,[-0.0901905  0.0901905],ini farel mas ingat kagak,NON ASD
12,mas ,[-0.19905936  0.19905936],ini farel mas ingat kagak,NON ASD
12,ingat ,[-0.13106588  0.13106588],ini farel mas ingat kagak,NON ASD
12,kagak,[-0.26119999  0.26119999],ini farel mas ingat kagak,NON ASD
12,,[0. 0.],ini farel mas ingat kagak,NON ASD
13,,[0. 0.],lepas tangan,NON ASD
13,lepas ,[-0.53531676  0.53531676],lepas tangan,NON ASD
13,tangan,[-0.16337143  0.16337143],lepas tangan,NON ASD
13,,[0. 0.],lepas tangan,NON ASD
14,,[0. 0.],lempar kaka farel,NON ASD
14,lempar ,[-0.46120155  0.46120155],lempar kaka farel,NON ASD
14,kaka ,[-0.08199239  0.08199239],lempar kaka farel,NON ASD
14,far,[-0.14172723  0.14172723],lempar kaka farel,NON ASD
14,el,[-0.11531239  0.11531239],lempar kaka farel,NON ASD
14,,[0. 0.],lempar kaka farel,NON ASD
15,,[0. 0.],lagi,ASD
15,lagi,[-0.514556  0.514556],lagi,ASD
15,,[0. 0.],lagi,ASD
