index,word,shap_value,text,true_label
0,,[0. 0.],kaget,NON ASD
0,kaget,[-0.55885881  0.55885881],kaget,NON ASD
0,,[0. 0.],kaget,NON ASD
1,,[0. 0.],hiiiiii,ASD
1,hi,[-0.11087476  0.11087476],hiiiiii,ASD
1,iiii,[-0.21341753  0.21341753],hiiiiii,ASD
1,i,[-0.12554372  0.12554372],hiiiiii,ASD
1,,[0. 0.],hiiiiii,ASD
2,,[0. 0.],takut,NON ASD
2,takut,[-0.52883338  0.52883338],takut,NON ASD
2,,[0. 0.],takut,NON ASD
3,,[0. 0.],ohhhh,NON ASD
3,ohh,[-0.41465307  0.41465307],ohhhh,NON ASD
3,hh,[-0.28101425  0.28101425],ohhhh,NON ASD
3,,[0. 0.],ohhhh,NON ASD
4,,[0. 0.],opaa aja banja ban,ASD
4,op,[-0.00862455  0.00862455],opaa aja banja ban,ASD
4,aa ,[ 0.06371017 -0.06371017],opaa aja banja ban,ASD
4,aja ,[-0.16976737  0.16976737],opaa aja banja ban,ASD
4,banj,[-0.06581732  0.06581732],opaa aja banja ban,ASD
4,a ,[-0.08679178  0.08679178],opaa aja banja ban,ASD
4,ban,[-0.08059491  0.08059491],opaa aja banja ban,ASD
4,,[0. 0.],opaa aja banja ban,ASD
5,,[0. 0.],kaget tadi hahaha,NON ASD
5,kaget ,[-0.03560629  0.03560629],kaget tadi hahaha,NON ASD
5,tadi ,[-0.41059914  0.41059914],kaget tadi hahaha,NON ASD
5,hahaha,[-0.26780322  0.26780322],kaget tadi hahaha,NON ASD
5,,[0. 0.],kaget tadi hahaha,NON ASD
6,,[0. 0.],mwah,ASD
6,mw,[ 0.21349957 -0.21349957],mwah,ASD
6,ah,[-0.42485351  0.42485351],mwah,ASD
6,,[0. 0.],mwah,ASD
7,,[0. 0.],okee pintar,NON ASD
7,oke,[-0.46452816  0.46452816],okee pintar,NON ASD
7,e ,[-0.28949977  0.28949977],okee pintar,NON ASD
7,pintar,[ 0.01606231 -0.01606231],okee pintar,NON ASD
7,,[0. 0.],okee pintar,NON ASD
8,,[0. 0.],keysa lihat sini keysa,NON ASD
8,key,[-0.23900161  0.23900161],keysa lihat sini keysa,NON ASD
8,sa ,[-0.1444076  0.1444076],keysa lihat sini keysa,NON ASD
8,lihat ,[-0.35585047  0.35585047],keysa lihat sini keysa,NON ASD
8,sini ,[-0.1585967  0.1585967],keysa lihat sini keysa,NON ASD
8,key,[-0.05552553  0.05552553],keysa lihat sini keysa,NON ASD
8,sa,[-0.02218817  0.02218817],keysa lihat sini keysa,NON ASD
8,,[0. 0.],keysa lihat sini keysa,NON ASD
9,,[0. 0.],kalau kalau,NON ASD
9,kalau ,[-0.34299846  0.34299846],kalau kalau,NON ASD
9,kalau,[-0.45503843  0.45503843],kalau kalau,NON ASD
9,,[0. 0.],kalau kalau,NON ASD
10,,[0. 0.],senang senang,NON ASD
10,senang ,[-0.25069416  0.25069416],senang senang,NON ASD
10,senang,[-0.56623224  0.56623224],senang senang,NON ASD
10,,[0. 0.],senang senang,NON ASD
11,,[0. 0.],,ASD
11,,[0. 0.],,ASD
12,,[0. 0.],ini farel mas ingat kagak,NON ASD
12,ini ,[-0.19744613  0.19744613],ini farel mas ingat kagak,NON ASD
12,far,[-0.09867911  0.09867911],ini farel mas ingat kagak,NON ASD
12,el ,[-0.09066889  0.09066889],ini farel mas ingat kagak,NON ASD
12,mas ,[-0.19951777  0.19951777],ini farel mas ingat kagak,NON ASD
12,ingat ,[-0.13220734  0.13220734],ini farel mas ingat kagak,NON ASD
12,kagak,[-0.26305267  0.26305267],ini farel mas ingat kagak,NON ASD
12,,[0. 0.],ini farel mas ingat kagak,NON ASD
13,,[0. 0.],lepas tangan,NON ASD
13,lepas ,[-0.53786671  0.53786671],lepas tangan,NON ASD
13,tangan,[-0.15989459  0.15989459],lepas tangan,NON ASD
13,,[0. 0.],lepas tangan,NON ASD
14,,[0. 0.],lempar kaka farel,NON ASD
14,lempar ,[-0.46022848  0.46022848],lempar kaka farel,NON ASD
14,kaka ,[-0.081076  0.081076],lempar kaka farel,NON ASD
14,far,[-0.14249367  0.14249367],lempar kaka farel,NON ASD
14,el,[-0.11492491  0.11492491],lempar kaka farel,NON ASD
14,,[0. 0.],lempar kaka farel,NON ASD
15,,[0. 0.],lagi,ASD
15,lagi,[-0.52881005  0.52881005],lagi,ASD
15,,[0. 0.],lagi,ASD
16,,[0. 0.],nama adik,NON ASD
16,nama ,[-0.59967077  0.59967077],nama adik,NON ASD
16,adik,[-0.09606285  0.09606285],nama adik,NON ASD
16,,[0. 0.],nama adik,NON ASD
17,,[0. 0.],kaka laki laki,NON ASD
17,kaka ,[ 0.00161899 -0.00161899],kaka laki laki,NON ASD
17,laki ,[-0.52728224  0.52728224],kaka laki laki,NON ASD
17,laki,[-0.39151983  0.39151983],kaka laki laki,NON ASD
17,,[0. 0.],kaka laki laki,NON ASD
18,,[0. 0.],pena,ASD
18,pena,[-0.26570165  0.26570165],pena,ASD
18,,[0. 0.],pena,ASD
19,,[0. 0.],kalau takut gimana,NON ASD
19,kalau ,[-0.10887  0.10887],kalau takut gimana,NON ASD
19,takut ,[-0.31828316  0.31828316],kalau takut gimana,NON ASD
19,gimana,[-0.5704027  0.5704027],kalau takut gimana,NON ASD
19,,[0. 0.],kalau takut gimana,NON ASD
20,,[0. 0.],naik,NON ASD
20,naik,[-0.52885565  0.52885565],naik,NON ASD
20,,[0. 0.],naik,NON ASD
21,,[0. 0.],hahahahha,NON ASD
21,hahahah,[-0.37818475  0.37818475],hahahahha,NON ASD
21,ha,[-0.33337508  0.33337508],hahahahha,NON ASD
21,,[0. 0.],hahahahha,NON ASD
22,,[0. 0.],naik,NON ASD
22,naik,[-0.52885565  0.52885565],naik,NON ASD
22,,[0. 0.],naik,NON ASD
23,,[0. 0.],hiiiiii,ASD
23,hi,[-0.11087476  0.11087476],hiiiiii,ASD
23,iiii,[-0.21341753  0.21341753],hiiiiii,ASD
23,i,[-0.12554372  0.12554372],hiiiiii,ASD
23,,[0. 0.],hiiiiii,ASD
24,,[0. 0.],,ASD
24,,[0. 0.],,ASD
25,,[0. 0.],tapi kayak ngefeedback,NON ASD
25,tapi ,[-0.03005488  0.03005488],tapi kayak ngefeedback,NON ASD
25,kayak ,[-0.17966372  0.17966372],tapi kayak ngefeedback,NON ASD
25,ngef,[-0.23390443  0.23390443],tapi kayak ngefeedback,NON ASD
25,eed,[-0.16838101  0.16838101],tapi kayak ngefeedback,NON ASD
25,back,[-0.28433637  0.28433637],tapi kayak ngefeedback,NON ASD
25,,[0. 0.],tapi kayak ngefeedback,NON ASD
26,,[0. 0.],lanjut,NON ASD
26,lanjut,[-0.69476791  0.69476791],lanjut,NON ASD
26,,[0. 0.],lanjut,NON ASD
27,,[0. 0.],satu dua sudah,NON ASD
27,satu ,[-0.10474144  0.10474144],satu dua sudah,NON ASD
27,dua ,[-0.53149784  0.53149784],satu dua sudah,NON ASD
27,sudah,[-0.35371345  0.35371345],satu dua sudah,NON ASD
27,,[0. 0.],satu dua sudah,NON ASD
28,,[0. 0.],shhhhh ahhhh,NON ASD
28,sh,[-0.04372058  0.04372058],shhhhh ahhhh,NON ASD
28,hhhh ,[-0.12350056  0.12350056],shhhhh ahhhh,NON ASD
28,ahh,[-0.11083913  0.11083913],shhhhh ahhhh,NON ASD
28,hh,[-0.22076703  0.22076703],shhhhh ahhhh,NON ASD
28,,[0. 0.],shhhhh ahhhh,NON ASD
29,,[0. 0.],hey,NON ASD
29,hey,[-0.76522373  0.76522373],hey,NON ASD
29,,[0. 0.],hey,NON ASD
30,,[0. 0.],tak mau tak mau,ASD
30,tak ,[-0.07330277  0.07330277],tak mau tak mau,ASD
30,mau ,[-0.13527578  0.13527578],tak mau tak mau,ASD
30,tak ,[-0.15412959  0.15412959],tak mau tak mau,ASD
30,mau,[-0.08929272  0.08929272],tak mau tak mau,ASD
30,,[0. 0.],tak mau tak mau,ASD
31,,[0. 0.],keysa keysa,NON ASD
31,key,[-0.22475811  0.22475811],keysa keysa,NON ASD
31,sa ,[-0.1156576  0.1156576],keysa keysa,NON ASD
31,key,[-0.41621453  0.41621453],keysa keysa,NON ASD
31,sa,[-0.18751285  0.18751285],keysa keysa,NON ASD
31,,[0. 0.],keysa keysa,NON ASD
32,,[0. 0.],ibu,NON ASD
32,ibu,[-0.52883311  0.52883311],ibu,NON ASD
32,,[0. 0.],ibu,NON ASD
33,,[0. 0.],aaaaaaa,ASD
33,aa,[-0.0162009  0.0162009],aaaaaaa,ASD
33,aaaaa,[-0.07904632  0.07904632],aaaaaaa,ASD
33,,[0. 0.],aaaaaaa,ASD
