index,true_label,predicted_label,word,weight,text
0,ASD,ASD,nghh,-0.300916389693499,HMMMM nghh
0,ASD,ASD,HMMMM,0.10592398245052712,HMMMM nghh
1,ASD,ASD,toko,-0.07741678909412483,Di toko indah
1,ASD,ASD,indah,-0.03082370718402763,Di toko indah
1,ASD,ASD,Di,-0.0036836821139194465,Di toko indah
2,ASD,NON ASD,hmmmmmm,9.619922636471034e-31,hmmmmmm
3,ASD,NON ASD,Sama,0.17104774256165478,Sama kakak!
3,ASD,NON ASD,kakak,-0.1293525252551964,Sama kakak!
4,ASD,ASD,ZAAAMIIIHIII,-0.040528747936468365,ZAAAMIIIHIII
5,ASD,ASD,HAAAAA,-0.09811724342254799,HAAAAA!
6,ASD,ASD,NGHHHh,-0.14745736011243687,NGHHHh!
7,ASD,ASD,Nghh,-0.1569474084644937,Nghh
8,ASD,ASD,nusa,0.05104400181585605,Filmnya nusa tapi ta nusa
8,ASD,ASD,ta,-0.03174957357691825,Filmnya nusa tapi ta nusa
8,ASD,ASD,tapi,-0.03002068090606439,Filmnya nusa tapi ta nusa
8,ASD,ASD,Filmnya,0.006060925357505019,Filmnya nusa tapi ta nusa
9,ASD,ASD,Tanggal,-0.29280345691991216,"Tanggal 10, Tanggal 17 sampai ulangan"
9,ASD,ASD,17,0.02278597768807105,"Tanggal 10, Tanggal 17 sampai ulangan"
9,ASD,ASD,sampai,0.012041555177831125,"Tanggal 10, Tanggal 17 sampai ulangan"
9,ASD,ASD,10,-0.006599945647298727,"Tanggal 10, Tanggal 17 sampai ulangan"
9,ASD,ASD,ulangan,-0.006021461329998647,"Tanggal 10, Tanggal 17 sampai ulangan"
10,ASD,ASD,pak,-0.33310356060703505,Ayok pak
10,ASD,ASD,Ayok,0.2666794391372558,Ayok pak
11,ASD,ASD,Hmpppppphhhhh,-0.040528747936468365,Hmpppppphhhhh
12,NON ASD,NON ASD,Lagi,0.10718862816492149,Lagi
13,NON ASD,NON ASD,Ohhhh,0.12115704946725042,Ohhhh
14,NON ASD,NON ASD,tulis,0.04542563245897762,"Tulis, tulis, tulis cepat"
14,NON ASD,NON ASD,Tulis,0.030156411335146627,"Tulis, tulis, tulis cepat"
14,NON ASD,NON ASD,cepat,0.0025498768886325195,"Tulis, tulis, tulis cepat"
15,NON ASD,NON ASD,Hebat,0.13432755600382806,"Hebat, Yeeee"
15,NON ASD,NON ASD,Yeeee,-0.04728976446138988,"Hebat, Yeeee"
16,NON ASD,NON ASD,Okeee,0.05834336586162876,Okeee
17,NON ASD,NON ASD,Oalah,0.050013234735939154,Oalah tidak ada suaranya
17,NON ASD,NON ASD,suaranya,-4.228008453160109e-05,Oalah tidak ada suaranya
17,NON ASD,NON ASD,ada,-3.772572432863834e-05,Oalah tidak ada suaranya
17,NON ASD,NON ASD,tidak,-3.404185908721168e-05,Oalah tidak ada suaranya
18,NON ASD,NON ASD,Kenapa,0.18271750547232815,Kenapa tidak suka ikan?
18,NON ASD,NON ASD,tidak,0.03855187794264071,Kenapa tidak suka ikan?
18,NON ASD,NON ASD,suka,0.028261599255093046,Kenapa tidak suka ikan?
18,NON ASD,NON ASD,ikan,0.0006121446271746089,Kenapa tidak suka ikan?
19,NON ASD,NON ASD,Ini,0.3274589788787838,Ini apa yang dipegang nusa
19,NON ASD,NON ASD,nusa,-0.018097698781177115,Ini apa yang dipegang nusa
19,NON ASD,NON ASD,yang,0.006542683193263589,Ini apa yang dipegang nusa
19,NON ASD,NON ASD,dipegang,0.005637058628459338,Ini apa yang dipegang nusa
19,NON ASD,NON ASD,apa,0.005133104297393907,Ini apa yang dipegang nusa
20,NON ASD,NON ASD,Iyaa,9.619922636471034e-31,Iyaa
21,NON ASD,NON ASD,pernah,0.07751157496511707,Kamu pernah tidak mengalami
21,NON ASD,NON ASD,mengalami,-6.312513519476459e-05,Kamu pernah tidak mengalami
21,NON ASD,NON ASD,Kamu,-6.117807450334017e-05,Kamu pernah tidak mengalami
21,NON ASD,NON ASD,tidak,-5.850601165268955e-05,Kamu pernah tidak mengalami
22,NON ASD,NON ASD,Naik,0.1659457583110478,Naik
23,NON ASD,NON ASD,aldi,0.3106607891322776,Tidak? aldi tidak pernah ketakutan?
23,NON ASD,NON ASD,tidak,0.007055657489418629,Tidak? aldi tidak pernah ketakutan?
23,NON ASD,NON ASD,pernah,-0.006602836486113135,Tidak? aldi tidak pernah ketakutan?
23,NON ASD,NON ASD,Tidak,0.0047326213662316095,Tidak? aldi tidak pernah ketakutan?
23,NON ASD,NON ASD,ketakutan,0.0042319720502305355,Tidak? aldi tidak pernah ketakutan?
