index,word,shap_value,text,true_label
0,,[0. 0.],kaget,NON ASD
0,kaget,[-0.54761412  0.54761412],kaget,NON ASD
0,,[0. 0.],kaget,NON ASD
1,,[0. 0.],hiiiiii,ASD
1,hi,[-0.11328679  0.11328679],hiiiiii,ASD
1,iiii,[-0.21798882  0.21798882],hiiiiii,ASD
1,i,[-0.12709066  0.12709066],hiiiiii,ASD
1,,[0. 0.],hiiiiii,ASD
2,,[0. 0.],takut,NON ASD
2,takut,[-0.51847768  0.51847768],takut,NON ASD
2,,[0. 0.],takut,NON ASD
3,,[0. 0.],ohhhh,NON ASD
3,ohh,[-0.41136141  0.41136141],ohhhh,NON ASD
3,hh,[-0.28217842  0.28217842],ohhhh,NON ASD
3,,[0. 0.],ohhhh,NON ASD
4,,[0. 0.],opaa aja banja ban,ASD
4,op,[-0.00799906  0.00799906],opaa aja banja ban,ASD
4,aa ,[ 0.06228113 -0.06228113],opaa aja banja ban,ASD
4,aja ,[-0.17556751  0.17556751],opaa aja banja ban,ASD
4,banj,[-0.06739202  0.06739202],opaa aja banja ban,ASD
4,a ,[-0.08897826  0.08897826],opaa aja banja ban,ASD
4,ban,[-0.08070422  0.08070422],opaa aja banja ban,ASD
4,,[0. 0.],opaa aja banja ban,ASD
5,,[0. 0.],kaget tadi hahaha,NON ASD
5,kaget ,[-0.03550692  0.03550692],kaget tadi hahaha,NON ASD
5,tadi ,[-0.40987086  0.40987086],kaget tadi hahaha,NON ASD
5,hahaha,[-0.26908134  0.26908134],kaget tadi hahaha,NON ASD
5,,[0. 0.],kaget tadi hahaha,NON ASD
6,,[0. 0.],mwah,ASD
6,mw,[ 0.20436632 -0.20436632],mwah,ASD
6,ah,[-0.42441521  0.42441521],mwah,ASD
6,,[0. 0.],mwah,ASD
7,,[0. 0.],okee pintar,NON ASD
7,oke,[-0.46485616  0.46485616],okee pintar,NON ASD
7,e ,[-0.28768914  0.28768914],okee pintar,NON ASD
7,pintar,[ 0.01484297 -0.01484297],okee pintar,NON ASD
7,,[0. 0.],okee pintar,NON ASD
8,,[0. 0.],keysa lihat sini keysa,NON ASD
8,key,[-0.24011218  0.24011218],keysa lihat sini keysa,NON ASD
8,sa ,[-0.1420734  0.1420734],keysa lihat sini keysa,NON ASD
8,lihat ,[-0.35375377  0.35375377],keysa lihat sini keysa,NON ASD
8,sini ,[-0.15866466  0.15866466],keysa lihat sini keysa,NON ASD
8,key,[-0.05672026  0.05672026],keysa lihat sini keysa,NON ASD
8,sa,[-0.02223964  0.02223964],keysa lihat sini keysa,NON ASD
8,,[0. 0.],keysa lihat sini keysa,NON ASD
